LINK-DIR,DATE-TIME,EPOCH-60MIN,COUNT
132935986T,2018-10-16 10:00,10,1
132935986T,2018-10-17 10:00,10,2
132935986T,2018-10-17 12:00,12,1
132935986T,2018-10-18 11:00,11,1
132935986T,2018-10-19 07:00,7,2
132935986T,2018-10-22 07:00,7,2
132935986T,2018-10-22 08:00,8,2
132935986T,2018-10-22 13:00,13,2
132935986T,2018-10-23 09:00,9,1
132935986T,2018-10-24 12:00,12,2
132935986T,2018-10-25 17:00,17,1
132935986T,2018-10-26 07:00,7,2
132935986T,2018-10-26 09:00,9,1
132935986T,2018-10-27 08:00,8,2
132935986T,2018-10-29 09:00,9,1
132935986T,2018-10-29 15:00,15,2
132935986T,2018-10-30 07:00,7,1
132935986T,2018-10-30 08:00,8,2
132935986T,2018-10-31 09:00,9,1
132935986T,2018-10-31 10:00,10,1
132935986T,2018-10-31 13:00,13,1
132935986T,2018-11-01 13:00,13,1
132935986T,2018-11-02 17:00,17,2
132935986T,2018-11-05 06:00,6,1
132935986T,2018-11-06 07:00,7,3
132935986T,2018-11-07 07:00,7,1
132935986T,2018-11-08 07:00,7,1
132935986T,2018-11-08 08:00,8,1
132935986T,2018-11-09 07:00,7,2
132935986T,2018-11-09 12:00,12,2
132935986T,2018-11-09 13:00,13,1
132935986T,2018-11-09 16:00,16,2
132935986T,2018-11-10 07:00,7,2
132935986T,2018-11-12 07:00,7,1
132935986T,2018-11-12 10:00,10,1
132935986T,2018-11-12 18:00,18,1
132935986T,2018-11-13 15:00,15,1
132935986T,2018-11-14 15:00,15,2
132935986T,2018-11-14 17:00,17,1
132935986T,2018-11-14 18:00,18,2
132935986T,2018-11-16 12:00,12,2
132935986T,2018-11-17 07:00,7,2
132935986T,2018-11-17 14:00,14,2
132935986T,2018-11-18 10:00,10,1
132935986T,2018-11-18 14:00,14,1
132935986T,2018-11-19 07:00,7,2
132935986T,2018-11-20 07:00,7,2
132935986T,2018-11-20 15:00,15,2
132935986T,2018-11-22 07:00,7,1
132935986T,2018-11-22 12:00,12,4
132935986T,2018-11-22 15:00,15,2
132935986T,2018-11-23 07:00,7,2
132935986T,2018-11-23 11:00,11,2
132935986T,2018-11-24 07:00,7,2
132935986T,2018-11-25 07:00,7,1
132935986T,2018-11-25 12:00,12,2
132935986T,2018-11-25 14:00,14,2
132935986T,2018-11-26 07:00,7,2
132935986T,2018-11-27 07:00,7,1
132935986T,2018-11-27 11:00,11,1
132935986T,2018-11-27 14:00,14,2
132935986T,2018-11-28 07:00,7,2
132935986T,2018-11-28 12:00,12,1
132935986T,2018-11-29 10:00,10,1
132935986T,2018-11-29 11:00,11,1
132935986T,2018-11-29 16:00,16,1
132935986T,2018-11-30 08:00,8,2
132935986T,2018-11-30 10:00,10,3
132935986T,2018-11-30 13:00,13,2
132935986T,2018-11-30 16:00,16,1
132935986T,2018-11-30 18:00,18,1
132935986T,2018-12-02 07:00,7,1
132935986T,2018-12-03 07:00,7,1
132935986T,2018-12-03 15:00,15,2
132935986T,2018-12-04 08:00,8,1
132935986T,2018-12-04 11:00,11,2
132935986T,2018-12-04 15:00,15,2
132935986T,2018-12-05 07:00,7,1
132935986T,2018-12-05 08:00,8,4
132935986T,2018-12-05 12:00,12,2
132935986T,2018-12-05 14:00,14,2
132935986T,2018-12-06 07:00,7,2
132935986T,2018-12-06 10:00,10,2
132935986T,2018-12-06 14:00,14,2
132935986T,2018-12-06 15:00,15,2
132935986T,2018-12-06 16:00,16,1
132935986T,2018-12-07 07:00,7,3
132935986T,2018-12-07 08:00,8,2
132935986T,2018-12-07 09:00,9,4
132935986T,2018-12-07 14:00,14,2
132935986T,2018-12-09 06:00,6,2
132935986T,2018-12-09 10:00,10,2
132935986T,2018-12-09 15:00,15,2
132935986T,2018-12-10 07:00,7,4
132935986T,2018-12-10 15:00,15,2
132935986T,2018-12-11 07:00,7,2
132935986T,2018-12-11 13:00,13,2
132935986T,2018-12-11 14:00,14,1
132935986T,2018-12-12 07:00,7,1
132935986T,2018-12-13 09:00,9,2
132935986T,2018-12-13 14:00,14,2
132935986T,2018-12-13 15:00,15,1
132935986T,2018-12-13 20:00,20,1
132935986T,2018-12-14 15:00,15,2
132935986T,2018-12-15 07:00,7,2
132935986T,2018-12-16 15:00,15,1
132935986T,2018-12-17 07:00,7,1
132935986T,2018-12-17 09:00,9,1
132935986T,2018-12-18 07:00,7,1
132935986T,2018-12-18 08:00,8,2
132935986T,2018-12-18 14:00,14,2
132935986T,2018-12-19 09:00,9,2
132935986T,2018-12-19 14:00,14,1
132935986T,2018-12-19 17:00,17,1
132935986T,2018-12-19 20:00,20,2
132935986T,2018-12-20 07:00,7,1
132935986T,2018-12-20 09:00,9,2
132935986T,2018-12-20 14:00,14,1
132935986T,2018-12-21 15:00,15,2
132935986T,2018-12-22 07:00,7,2
132935986T,2018-12-22 10:00,10,1
132935986T,2018-12-23 14:00,14,1
132935986T,2018-12-24 08:00,8,2
132935986T,2018-12-24 13:00,13,2
132935986T,2018-12-24 17:00,17,2
132935986T,2018-12-26 10:00,10,2
132935986T,2018-12-26 14:00,14,2
132935986T,2018-12-27 14:00,14,1
132935986T,2018-12-28 07:00,7,2
132935986T,2018-12-29 07:00,7,2
132935986T,2018-12-31 10:00,10,1
132935986T,2018-12-31 15:00,15,1
