LINK-DIR,DATE-TIME,EPOCH-60MIN,LENGTH,COUNT,MEAN
988573468T,2018-11-12 07:00,7,52,4,39.2
988573468T,2018-11-12 08:00,8,52,5,34.8
988573468T,2018-11-12 10:00,10,52,15,21.8
988573468T,2018-11-12 11:00,11,52,4,14.5
988573468T,2018-11-12 12:00,12,52,3,25.3
988573468T,2018-11-12 13:00,13,52,7,20.9
988573468T,2018-11-12 14:00,14,52,2,8.5
988573468T,2018-11-12 15:00,15,52,8,22.5
988573468T,2018-11-12 16:00,16,52,8,13.4
988573468T,2018-11-12 17:00,17,52,1,15.0
988573468T,2018-11-12 18:00,18,52,2,30.5
988573468T,2018-11-12 19:00,19,52,3,21.3
988573468T,2018-11-12 22:00,22,52,2,32.0
988573468T,2018-11-12 23:00,23,52,1,30.0
988573468T,2018-11-13 04:00,4,52,1,42.0
988573468T,2018-11-13 05:00,5,52,2,38.5
988573468T,2018-11-13 06:00,6,52,12,23.1
988573468T,2018-11-13 07:00,7,52,10,27.1
988573468T,2018-11-13 08:00,8,52,1,9.0
988573468T,2018-11-13 09:00,9,52,8,24.6
988573468T,2018-11-13 10:00,10,52,4,27.2
988573468T,2018-11-13 11:00,11,52,7,15.3
988573468T,2018-11-13 12:00,12,52,8,15.4
988573468T,2018-11-13 13:00,13,52,5,23.0
988573468T,2018-11-13 14:00,14,52,7,12.1
988573468T,2018-11-13 15:00,15,52,7,21.0
988573468T,2018-11-13 16:00,16,52,3,18.3
988573468T,2018-11-13 17:00,17,52,2,8.5
988573468T,2018-11-13 19:00,19,52,1,44.0
988573468T,2018-11-13 22:00,22,52,1,53.0
988573468T,2018-11-14 04:00,4,52,1,45.0
988573468T,2018-11-14 06:00,6,52,6,28.5
988573468T,2018-11-14 07:00,7,52,12,15.8
988573468T,2018-11-14 08:00,8,52,2,7.0
988573468T,2018-11-14 09:00,9,52,3,14.7
988573468T,2018-11-14 10:00,10,52,9,16.7
988573468T,2018-11-14 11:00,11,52,9,19.4
988573468T,2018-11-14 12:00,12,52,3,8.0
988573468T,2018-11-14 13:00,13,52,14,12.3
988573468T,2018-11-14 15:00,15,52,9,15.7
988573468T,2018-11-14 16:00,16,52,8,9.2
988573468T,2018-11-14 18:00,18,52,4,15.5
988573468T,2018-11-15 04:00,4,52,1,43.0
988573468T,2018-11-15 05:00,5,52,3,39.7
988573468T,2018-11-15 06:00,6,52,6,29.2
988573468T,2018-11-15 07:00,7,52,2,20.5
988573468T,2018-11-15 08:00,8,52,1,10.0
988573468T,2018-11-15 09:00,9,52,2,31.0
988573468T,2018-11-15 10:00,10,52,5,16.2
988573468T,2018-11-15 11:00,11,52,9,20.0
988573468T,2018-11-15 12:00,12,52,4,8.0
988573468T,2018-11-15 13:00,13,52,4,14.8
988573468T,2018-11-15 14:00,14,52,3,27.0
988573468T,2018-11-15 15:00,15,52,6,11.2
988573468T,2018-11-15 16:00,16,52,1,3.0
988573468T,2018-11-15 17:00,17,52,4,20.2
988573468T,2018-11-16 04:00,4,52,1,33.0
988573468T,2018-11-16 05:00,5,52,2,31.0
988573468T,2018-11-16 06:00,6,52,8,30.6
988573468T,2018-11-16 07:00,7,52,10,28.3
988573468T,2018-11-16 08:00,8,52,9,21.9
988573468T,2018-11-16 09:00,9,52,18,15.3
988573468T,2018-11-16 10:00,10,52,3,18.0
988573468T,2018-11-16 11:00,11,52,10,22.5
988573468T,2018-11-16 12:00,12,52,12,28.4
988573468T,2018-11-16 13:00,13,52,11,21.7
988573468T,2018-11-16 14:00,14,52,10,29.4
988573468T,2018-11-16 15:00,15,52,4,13.8
988573468T,2018-11-16 16:00,16,52,2,12.5
988573468T,2018-11-16 18:00,18,52,3,44.3
988573468T,2018-11-16 19:00,19,52,3,15.0
988573468T,2018-11-16 20:00,20,52,3,19.7
988573468T,2018-11-19 04:00,4,52,2,36.0
988573468T,2018-11-19 05:00,5,52,4,32.2
988573468T,2018-11-19 06:00,6,52,6,31.8
988573468T,2018-11-19 07:00,7,52,8,19.8
988573468T,2018-11-19 08:00,8,52,8,19.1
988573468T,2018-11-19 09:00,9,52,5,8.0
988573468T,2018-11-19 10:00,10,52,11,22.3
988573468T,2018-11-19 11:00,11,52,10,19.6
988573468T,2018-11-19 12:00,12,52,1,19.0
988573468T,2018-11-19 13:00,13,52,8,18.1
988573468T,2018-11-19 14:00,14,52,13,18.3
988573468T,2018-11-19 15:00,15,52,3,14.3
988573468T,2018-11-19 16:00,16,52,4,8.8
988573468T,2018-11-19 17:00,17,52,1,31.0
988573468T,2018-11-19 19:00,19,52,1,44.0
988573468T,2018-11-19 20:00,20,52,1,22.0
988573468T,2018-11-19 22:00,22,52,1,28.0
988573468T,2018-11-20 04:00,4,52,1,44.0
988573468T,2018-11-20 05:00,5,52,3,34.0
988573468T,2018-11-20 06:00,6,52,6,22.5
988573468T,2018-11-20 07:00,7,52,5,18.8
988573468T,2018-11-20 08:00,8,52,4,35.0
988573468T,2018-11-20 09:00,9,52,3,14.0
988573468T,2018-11-20 10:00,10,52,7,16.0
988573468T,2018-11-20 11:00,11,52,15,12.7
988573468T,2018-11-20 12:00,12,52,9,25.3
988573468T,2018-11-20 13:00,13,52,6,16.3
988573468T,2018-11-20 14:00,14,52,3,28.7
988573468T,2018-11-20 15:00,15,52,7,28.0
988573468T,2018-11-20 16:00,16,52,3,19.7
988573468T,2018-11-20 18:00,18,52,5,22.4
988573468T,2018-11-20 19:00,19,52,2,43.5
988573468T,2018-11-21 04:00,4,52,2,35.5
988573468T,2018-11-21 05:00,5,52,6,41.2
988573468T,2018-11-21 06:00,6,52,3,28.7
988573468T,2018-11-21 07:00,7,52,5,22.0
988573468T,2018-11-21 08:00,8,52,4,16.8
988573468T,2018-11-21 09:00,9,52,6,25.2
988573468T,2018-11-21 10:00,10,52,6,25.7
988573468T,2018-11-21 11:00,11,52,5,18.6
988573468T,2018-11-21 12:00,12,52,8,28.6
988573468T,2018-11-21 13:00,13,52,10,13.6
988573468T,2018-11-21 14:00,14,52,5,20.2
988573468T,2018-11-21 15:00,15,52,6,19.0
988573468T,2018-11-21 16:00,16,52,6,18.3
988573468T,2018-11-21 17:00,17,52,3,11.7
988573468T,2018-11-21 18:00,18,52,4,21.2
988573468T,2018-11-21 19:00,19,52,7,37.7
988573468T,2018-11-21 22:00,22,52,2,24.5
988573468T,2018-11-22 04:00,4,52,1,40.0
988573468T,2018-11-22 05:00,5,52,3,20.0
988573468T,2018-11-22 06:00,6,52,7,31.9
988573468T,2018-11-22 07:00,7,52,11,21.7
988573468T,2018-11-22 08:00,8,52,2,32.0
988573468T,2018-11-22 09:00,9,52,6,9.8
988573468T,2018-11-22 10:00,10,52,8,19.4
988573468T,2018-11-22 11:00,11,52,3,34.3
988573468T,2018-11-22 12:00,12,52,7,20.3
988573468T,2018-11-22 13:00,13,52,12,14.2
988573468T,2018-11-22 14:00,14,52,6,16.8
988573468T,2018-11-22 15:00,15,52,3,9.3
988573468T,2018-11-22 16:00,16,52,5,15.8
988573468T,2018-11-22 17:00,17,52,2,30.5
988573468T,2018-11-22 18:00,18,52,1,5.0
988573468T,2018-11-22 20:00,20,52,2,29.0
988573468T,2018-11-23 04:00,4,52,1,44.0
988573468T,2018-11-23 05:00,5,52,3,27.0
988573468T,2018-11-23 06:00,6,52,5,37.8
988573468T,2018-11-23 07:00,7,52,6,18.8
988573468T,2018-11-23 08:00,8,52,10,13.2
988573468T,2018-11-23 09:00,9,52,4,39.2
988573468T,2018-11-23 10:00,10,52,11,22.5
988573468T,2018-11-23 11:00,11,52,5,9.2
988573468T,2018-11-23 12:00,12,52,9,14.7
988573468T,2018-11-23 13:00,13,52,8,22.1
988573468T,2018-11-23 14:00,14,52,10,13.7
988573468T,2018-11-23 15:00,15,52,4,26.8
988573468T,2018-11-23 16:00,16,52,6,20.8
988573468T,2018-11-23 17:00,17,52,8,13.2
988573468T,2018-11-23 18:00,18,52,1,11.0
988573468T,2018-11-23 21:00,21,52,2,33.0
988573468T,2018-11-23 23:00,23,52,2,34.5
988573468T,2018-11-26 04:00,4,52,1,44.0
988573468T,2018-11-26 05:00,5,52,7,38.6
988573468T,2018-11-26 06:00,6,52,7,36.4
988573468T,2018-11-26 07:00,7,52,3,37.3
988573468T,2018-11-26 08:00,8,52,4,23.0
988573468T,2018-11-26 09:00,9,52,8,15.4
988573468T,2018-11-26 10:00,10,52,9,16.8
988573468T,2018-11-26 11:00,11,52,7,25.7
988573468T,2018-11-26 12:00,12,52,6,16.8
988573468T,2018-11-26 13:00,13,52,8,24.4
988573468T,2018-11-26 14:00,14,52,1,20.0
988573468T,2018-11-26 15:00,15,52,8,18.6
988573468T,2018-11-26 16:00,16,52,3,12.0
988573468T,2018-11-26 17:00,17,52,3,16.3
988573468T,2018-11-26 18:00,18,52,3,27.0
988573468T,2018-11-26 19:00,19,52,2,17.5
988573468T,2018-11-26 22:00,22,52,2,39.0
988573468T,2018-11-27 04:00,4,52,1,42.0
988573468T,2018-11-27 05:00,5,52,4,28.0
988573468T,2018-11-27 06:00,6,52,6,28.3
988573468T,2018-11-27 07:00,7,52,8,15.6
988573468T,2018-11-27 08:00,8,52,1,17.0
988573468T,2018-11-27 09:00,9,52,7,21.7
988573468T,2018-11-27 10:00,10,52,3,19.3
988573468T,2018-11-27 11:00,11,52,13,22.2
988573468T,2018-11-27 12:00,12,52,6,18.0
988573468T,2018-11-27 13:00,13,52,6,15.5
988573468T,2018-11-27 14:00,14,52,2,10.5
988573468T,2018-11-27 15:00,15,52,3,20.0
988573468T,2018-11-27 16:00,16,52,2,20.5
988573468T,2018-11-27 17:00,17,52,2,20.0
988573468T,2018-11-27 19:00,19,52,2,19.5
988573468T,2018-11-28 04:00,4,52,1,39.0
988573468T,2018-11-28 05:00,5,52,4,30.0
988573468T,2018-11-28 06:00,6,52,6,25.3
988573468T,2018-11-28 07:00,7,52,2,36.0
988573468T,2018-11-28 08:00,8,52,3,41.0
988573468T,2018-11-28 09:00,9,52,1,7.0
988573468T,2018-11-28 10:00,10,52,6,18.5
988573468T,2018-11-28 12:00,12,52,11,23.1
988573468T,2018-11-28 14:00,14,52,10,22.8
988573468T,2018-11-28 15:00,15,52,2,13.0
988573468T,2018-11-28 16:00,16,52,3,34.7
988573468T,2018-11-28 18:00,18,52,5,22.2
988573468T,2018-11-28 21:00,21,52,1,35.0
988573468T,2018-11-28 22:00,22,52,1,46.0
988573468T,2018-11-29 04:00,4,52,1,44.0
988573468T,2018-11-29 05:00,5,52,4,32.5
988573468T,2018-11-29 06:00,6,52,4,26.8
988573468T,2018-11-29 07:00,7,52,7,12.6
988573468T,2018-11-29 08:00,8,52,10,14.5
988573468T,2018-11-29 09:00,9,52,5,13.2
988573468T,2018-11-29 10:00,10,52,10,22.9
988573468T,2018-11-29 11:00,11,52,11,12.4
988573468T,2018-11-29 12:00,12,52,7,17.7
988573468T,2018-11-29 13:00,13,52,4,6.8
988573468T,2018-11-29 14:00,14,52,8,9.4
988573468T,2018-11-29 15:00,15,52,1,3.0
988573468T,2018-11-29 16:00,16,52,3,17.7
988573468T,2018-11-29 17:00,17,52,9,20.0
988573468T,2018-11-29 18:00,18,52,5,26.8
988573468T,2018-11-29 19:00,19,52,2,6.0
988573468T,2018-11-30 05:00,5,52,4,17.5
988573468T,2018-11-30 06:00,6,52,4,26.2
988573468T,2018-11-30 07:00,7,52,10,29.4
988573468T,2018-11-30 08:00,8,52,4,7.8
988573468T,2018-11-30 09:00,9,52,10,20.3
988573468T,2018-11-30 10:00,10,52,3,8.3
988573468T,2018-11-30 11:00,11,52,10,10.1
988573468T,2018-11-30 12:00,12,52,15,10.7
988573468T,2018-11-30 13:00,13,52,18,14.9
988573468T,2018-11-30 14:00,14,52,9,16.7
988573468T,2018-11-30 15:00,15,52,12,13.2
988573468T,2018-11-30 16:00,16,52,10,16.1
988573468T,2018-11-30 17:00,17,52,1,27.0
988573468T,2018-11-30 18:00,18,52,17,23.1
988573468T,2018-11-30 21:00,21,52,1,18.0
988573468T,2018-11-30 22:00,22,52,2,28.0
988573468T,2018-12-03 03:00,3,52,1,30.0
988573468T,2018-12-03 04:00,4,52,1,38.0
988573468T,2018-12-03 05:00,5,52,2,33.0
988573468T,2018-12-03 06:00,6,52,5,20.8
988573468T,2018-12-03 07:00,7,52,3,28.3
988573468T,2018-12-03 08:00,8,52,6,27.7
988573468T,2018-12-03 09:00,9,52,3,35.3
988573468T,2018-12-03 10:00,10,52,8,13.1
988573468T,2018-12-03 11:00,11,52,5,10.6
988573468T,2018-12-03 12:00,12,52,13,12.7
988573468T,2018-12-03 13:00,13,52,3,34.7
988573468T,2018-12-03 14:00,14,52,6,10.3
988573468T,2018-12-03 15:00,15,52,2,18.0
988573468T,2018-12-03 16:00,16,52,4,14.8
988573468T,2018-12-03 17:00,17,52,3,10.7
988573468T,2018-12-03 18:00,18,52,5,19.0
988573468T,2018-12-04 04:00,4,52,1,37.0
988573468T,2018-12-04 05:00,5,52,3,27.7
988573468T,2018-12-04 06:00,6,52,4,36.5
988573468T,2018-12-04 07:00,7,52,1,10.0
988573468T,2018-12-04 09:00,9,52,7,30.7
988573468T,2018-12-04 10:00,10,52,6,22.5
988573468T,2018-12-04 11:00,11,52,4,10.2
988573468T,2018-12-04 12:00,12,52,6,25.0
988573468T,2018-12-04 13:00,13,52,3,9.7
988573468T,2018-12-04 14:00,14,52,4,29.5
988573468T,2018-12-04 15:00,15,52,5,17.6
988573468T,2018-12-04 16:00,16,52,6,18.8
988573468T,2018-12-04 17:00,17,52,4,16.5
988573468T,2018-12-04 18:00,18,52,1,27.0
988573468T,2018-12-05 04:00,4,52,1,38.0
988573468T,2018-12-05 05:00,5,52,3,21.3
988573468T,2018-12-05 06:00,6,52,5,25.2
988573468T,2018-12-05 07:00,7,52,7,13.7
988573468T,2018-12-05 09:00,9,52,13,38.2
988573468T,2018-12-05 10:00,10,52,7,16.7
988573468T,2018-12-05 11:00,11,52,10,11.3
988573468T,2018-12-05 12:00,12,52,10,17.9
988573468T,2018-12-05 13:00,13,52,4,19.0
988573468T,2018-12-05 14:00,14,52,3,19.3
988573468T,2018-12-05 15:00,15,52,13,11.4
988573468T,2018-12-05 16:00,16,52,6,15.3
988573468T,2018-12-05 17:00,17,52,2,20.0
988573468T,2018-12-05 18:00,18,52,1,16.0
988573468T,2018-12-05 19:00,19,52,1,9.0
988573468T,2018-12-05 21:00,21,52,2,39.5
988573468T,2018-12-06 05:00,5,52,1,38.0
988573468T,2018-12-06 06:00,6,52,5,18.6
988573468T,2018-12-06 07:00,7,52,10,20.1
988573468T,2018-12-06 08:00,8,52,12,24.8
988573468T,2018-12-06 09:00,9,52,8,28.9
988573468T,2018-12-06 10:00,10,52,4,6.5
988573468T,2018-12-06 11:00,11,52,11,15.5
988573468T,2018-12-06 12:00,12,52,4,13.5
988573468T,2018-12-06 13:00,13,52,13,17.4
988573468T,2018-12-06 14:00,14,52,6,11.0
988573468T,2018-12-06 15:00,15,52,8,9.6
988573468T,2018-12-06 16:00,16,52,2,23.0
988573468T,2018-12-06 17:00,17,52,6,22.7
988573468T,2018-12-06 18:00,18,52,2,15.5
988573468T,2018-12-06 19:00,19,52,1,15.0
988573468T,2018-12-06 20:00,20,52,1,4.0
988573468T,2018-12-06 21:00,21,52,1,11.0
988573468T,2018-12-07 04:00,4,52,2,28.5
988573468T,2018-12-07 05:00,5,52,1,17.0
988573468T,2018-12-07 06:00,6,52,5,28.0
988573468T,2018-12-07 07:00,7,52,4,35.5
988573468T,2018-12-07 08:00,8,52,13,14.5
988573468T,2018-12-07 09:00,9,52,6,25.3
988573468T,2018-12-07 10:00,10,52,7,15.4
988573468T,2018-12-07 11:00,11,52,9,11.9
988573468T,2018-12-07 12:00,12,52,12,10.7
988573468T,2018-12-07 13:00,13,52,4,13.8
988573468T,2018-12-07 14:00,14,52,7,20.6
988573468T,2018-12-07 15:00,15,52,8,22.0
988573468T,2018-12-07 16:00,16,52,7,24.7
988573468T,2018-12-07 17:00,17,52,4,37.0
988573468T,2018-12-07 18:00,18,52,4,42.0
988573468T,2018-12-07 19:00,19,52,3,25.0
988573468T,2018-12-07 21:00,21,52,1,47.0
988573468T,2018-12-10 04:00,4,52,2,40.5
988573468T,2018-12-10 05:00,5,52,6,34.8
988573468T,2018-12-10 06:00,6,52,8,36.6
988573468T,2018-12-10 07:00,7,52,4,22.0
988573468T,2018-12-10 08:00,8,52,6,13.5
988573468T,2018-12-10 09:00,9,52,3,27.7
988573468T,2018-12-10 10:00,10,52,4,10.2
988573468T,2018-12-10 11:00,11,52,10,14.8
988573468T,2018-12-10 12:00,12,52,11,26.0
988573468T,2018-12-10 13:00,13,52,4,20.5
988573468T,2018-12-10 14:00,14,52,7,17.9
988573468T,2018-12-10 15:00,15,52,4,21.2
988573468T,2018-12-10 16:00,16,52,3,5.3
988573468T,2018-12-10 18:00,18,52,2,31.0
988573468T,2018-12-10 19:00,19,52,3,23.0
988573468T,2018-12-10 21:00,21,52,1,30.0
988573468T,2018-12-11 03:00,3,52,1,38.0
988573468T,2018-12-11 05:00,5,52,3,21.3
988573468T,2018-12-11 06:00,6,52,11,29.7
988573468T,2018-12-11 07:00,7,52,5,22.4
988573468T,2018-12-11 08:00,8,52,3,9.0
988573468T,2018-12-11 09:00,9,52,19,15.7
988573468T,2018-12-11 10:00,10,52,2,19.5
988573468T,2018-12-11 11:00,11,52,4,22.8
988573468T,2018-12-11 12:00,12,52,6,18.7
988573468T,2018-12-11 13:00,13,52,7,11.7
988573468T,2018-12-11 14:00,14,52,9,21.3
988573468T,2018-12-11 15:00,15,52,6,24.8
988573468T,2018-12-11 17:00,17,52,2,25.0
988573468T,2018-12-11 19:00,19,52,3,25.3
988573468T,2018-12-11 20:00,20,52,3,17.7
988573468T,2018-12-12 04:00,4,52,1,47.0
988573468T,2018-12-12 05:00,5,52,8,30.4
988573468T,2018-12-12 06:00,6,52,7,31.9
988573468T,2018-12-12 07:00,7,52,8,31.8
